UserId:ItemId,Prediction
u0000002:i2726560,8.73333
u0000002:i2883512,5.98443
u0000002:i3079380,8.73333
u0007520:i1823672,6.94773
u0007520:i0054997,8.08818
u0007520:i2310332,5.43373
u0007520:i0831387,4.5821
u0007520:i1723121,6.1078
u0007520:i2802144,6.94773
u0007520:i1800241,5.3463
u0007520:i0816692,7.86807
u0007520:i2334879,4.36755
u0007520:i1321870,5.55161
u0007520:i2294449,4.81568
u0007520:i1790864,5.38142
u0007520:i0097351,4.34584
u0007520:i2004420,5.26507
u0007520:i2582802,5.36261
u0007520:i1798709,5.72433
u0007520:i2380564,6.44773
u0007520:i0478970,6.94773
u0007520:i0872224,6.94773
u0007520:i3271220,6.44773
u0007520:i0319262,5.34046
u0015040:i1922777,7.13395
u0015040:i1035736,7.05
u0015040:i1972779,7.4
u0015040:i1661199,7.67599
u0015040:i0109830,10
u0015040:i1682180,7.19189
u0015040:i2802144,7.67599
u0015040:i2109248,6.36732
u0015040:i0758758,9.90909
u0015040:i0070047,9.96914
u0015040:i2267998,9.83595
u0015040:i0084516,8.6
u0015040:i1655441,7.67599
u0015040:i0804516,6.76923
u0037592:i2179136,8.17526
u0037592:i2326612,7.2221
u0037592:i3813310,7.48182
u0037592:i3181822,6.88182
u0037592:i2679042,7.48182
u0037592:i2139555,7.48182
u0037592:i3442990,7.18182
u0037592:i3007302,7.98182
u0037592:i2199571,7.48182
u0037592:i1653002,7.18182
u0037592:i2582802,9.1212
u0037592:i2355495,7.79201
u0037592:i2980592,7.77205
u0030076:i2582802,10
u0030076:i1638002,8.40714
u0030076:i2802144,7.67599
u0030076:i1823672,7.67599
u0030076:i2436386,7.17599
u0030076:i1109624,8.37447
u0037595:i0432291,4.88397
u0037595:i2802144,7.5
u0037595:i1823672,7.5
u0037595:i0090837,6.7
u0037595:i0085678,6.7
u0007529:i2582802,10
u0007529:i1528100,6.48301
u0007529:i2758880,10
u0007529:i0099685,10
u0007529:i2245084,8.94932
u0007529:i2084970,9.94318
u0007529:i1392190,8.37599
u0007529:i2316411,7.19147
u0007529:i1850397,7.17599
u0007529:i0770802,10
u0030081:i1392190,8.5
u0030081:i3195644,7.3
u0030081:i2179136,5.96687
u0030081:i1843866,7.4434
u0030081:i2388715,6.37859
u0030081:i2015381,7.98063
u0030081:i1204977,5.0028
u0030081:i0848228,7.35789
u0030081:i1430612,7.55519
u0030081:i0133093,6.96147
u0030081:i0458339,5.9805
u0030081:i1483013,7.19825
u0030081:i1905041,7.03911
u0030081:i1335975,6.47604
u0030081:i0425430,7
u0037599:i2980516,9.0451
u0037599:i2004420,6.92085
u0037599:i0824747,9.14091
u0037599:i1637725,7.76763
u0037599:i3532608,7.67599
u0037599:i2562232,9.24444
u0037599:i1535109,9.11105
u0037599:i2096672,6.36054
u0037599:i1956620,5.15306
u0037599:i2713180,8.74118
u0037599:i2387559,6.83684
u0037601:i2436386,7.60108
u0037601:i1706620,7.09845
u0037601:i1392190,8.80108
u0037601:i0884732,7.60108
u0037601:i2820852,8.10108
u0037601:i1100089,5.12181
u0037601:i1655441,8.10108
u0037601:i2582846,5.57038
u0037601:i2582802,5.88303
u0037601:i1291150,4.6201
u0037601:i1951265,4.67786
u0037601:i3247714,7.30108
u0037601:i1617661,7.30108
u0037601:i2097298,8.10108
u0037601:i2230358,4.1835
u0037601:i1840309,5.98948
u0037601:i1823672,8.10108
u0037601:i2170439,5.51749
u0037601:i1911658,6.53318
u0037601:i2179136,6.06731
u0037601:i2637294,7.30108
u0037601:i1396218,6.18246
u0037601:i2908446,7.60108
u0037601:i1809398,4.96369
u0037601:i2802136,7.30108
u0022568:i1392190,8.37599
u0022568:i2395427,7.67599
u0022568:i2179136,8.51329
u0022568:i1661199,7.67599
u0022568:i2726560,7.67599
u0022568:i1121096,5.11765
u0022568:i3064298,7.67599
u0022568:i2692250,7.06087
u0022568:i2268016,7.17599
u0022568:i2452200,7.17599
u0022568:i2180411,6.83285
u0022568:i3152624,7.17599
u0022568:i2820852,7.67599
u0022568:i3851324,6.87599
u0022568:i1340138,7.17599
u0022568:i2084970,9.94318
u0022568:i2140379,7.17599
u0022569:i1659337,6.93814
u0022569:i0118755,6.25
u0022569:i1785612,7.7014
u0022569:i1723811,6.96873
u0022569:i0472198,6.55
u0022569:i1045658,8.0154
u0022569:i1531901,7.5721
u0022569:i0013257,7.05
u0022569:i2381941,6.55
u0022569:i1340800,8.63707
u0022569:i0159382,7.05
u0022569:i1912398,7.54929
u0022569:i1655442,8.33724
u0022569:i0120102,7.23799
u0022569:i2014338,8.31418
